"product_id","product_type","date_manifacture","brand","tag_applience","trasportation"
101,"lowers","2012-02-10","zara","yes","bus"
102,"shirts","2013-05-15","nike","no","train"
103,"t-shirts","2014-08-20","adidas","yes","truck"
104,"jeans","2015-11-25","puma","no","ship"
106,"skirts","2017-03-12","gap","no","bus"
107,"shorts","2018-06-18","uniqlo","no","metro"
105,"jackets","2016-01-30","levis","yes","ship"
110,"blazers","2021-02-14","armani","yes","bus"
111,"sarees","2021-04-10","fabindia","yes","porter"
113,"tops","2021-08-20","zudio","yes","porter"
114,"trousers","2021-10-25","allen solly","no","porter"
115,"leggings","2022-01-01","w","yes","porter"
112,"kurta","2021-06-16","biba","yes","porter"
